SampleID,UID,kingdom,phylum,class,order,family,genus,species,PercIDMin,PercIDMax,PercIDWM,LengthMin,LengthMax,LengthWM,EMin,EMax,EWM,OTUs,SequencesMin,SequencesMax,Sequences
Test,29672,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avenella,Avenella flexuosa,94.619,100,99.99329616,223,224,223.9972513,8.44E-112,3.11E-91,1.39E-94,7,5,44626,2500
Test,196624,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,97.89,99.167,99.14488437,237,240,239.2330956,2.54E-117,1.17E-110,1.79E-112,7,5,16030,5000
Test,4509,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Dactylis,Dactylis glomerata,97.838,100,99.99633887,165,224,223.7966435,8.44E-112,2.05E-77,5.86E-80,3,5,5580,3000
Test,38873,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,98.182,100,99.99912907,220,221,220.9995209,3.86E-110,6.48E-103,3.10E-106,2,7,14605,4500
Test,3501,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,99.197,99.603,99.58465126,249,252,251.9086481,4.41E-125,2.64E-122,6.32E-124,13,5,22072,4000
Test,242228,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,Phialocephala europaea,90.415,90.735,90.519,309,313,312.2,9.58E-113,1.60E-110,5.90E-111,4,2,4,3000
Test,533304,Fungi,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola levissima,90.735,90.735,90.735,313,313,313,9.58E-113,9.58E-113,9.58E-113,1,7,7,500
Test,582650,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium delphinoides,92.332,92.332,92.332,313,313,313,4.39E-121,4.39E-121,4.39E-121,1,4,4,750
Test,29204,NA,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica,97.826,98.046,97.991,276,307,299.25,9.12E-148,1.56E-130,3.90E-131,2,2,6,300
Test,1488663,NA,NA,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium,Nusuttodinium aeruginosum,100,100,100,316,316,316,9.02E-163,9.02E-163,9.02E-163,1,3,3,90
Test,468664,Metazoa,Rotifera,Eurotatoria,Philodinida,Philodinidae,Philodina,Philodina citrina,92.405,92.405,92.405,316,316,316,9.55E-123,9.55E-123,9.55E-123,1,12,12,800
Test,28584,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii,98.403,100,99.97894301,310,315,314.9523229,3.23E-162,9.05E-153,3.61E-156,45,2,67492,2000
Test,1302610,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra,91.693,100,93.76975,313,314,313.25,1.16E-161,9.51E-118,7.13E-118,2,2,6,4000
Test,446454,Metazoa,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia submarginata,99.681,99.681,99.681,313,313,313,1.93E-159,1.93E-159,1.93E-159,1,35,35,900
Test,76587,Metazoa,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,Limnodrilus hoffmeisteri,99.8,100,100,313,313,313,4.15E-161,4.15E-161,4.15E-161,1,2,2,200
Test,9913,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,99,99.405,99.405,168,168,168,3.77E-79,3.77E-79,3.77E-79,2,2,52,80
Test,9606,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,99.8,100,100,170,171,171,0,0,0,1.00E+00,100,800,1000
Test,48668,Metazoa,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rutilus,Rutilus rutilus,99.9,100,99.99,2,180,180,175,252,426,4.00E+00,100,1900,1500
Test,8032,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,99,99.412,99.2,1,0,170,170,314,483,2.95E-80,300,3700,4000
Test,320565,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ponticola,Ponticola kessleri,98,99,98.5,7,0,1,168,318,485,2,10,3000,3010
Test,114083,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,98.4,99,100,12,1,1,228,60,286,8.86E-92,348,1,2000
Test,142466,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica,99.4,99.6,100,8,3,1,228,60,287,5.30E-94,355,1,2500
Test,51331,Metazoa,Chordata,Amphibia,Anura,Ranidae,Rana,Rana dalmatina,100,100,100,2,0,1,216,61,288,1.00E+00,356,2,400
Test,8324,Metazoa,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,99,100,100,3,1,1,188,97,285,3.30E-85,326,3,600
Test,9615,Metazoa,Chordata,Craniata,Carnivora,Cranidae,Canis,Canis lupus,100,100,100,4,2,2,189,98,286,1.00E+00,327,4,700
Test_1,29672,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avenella,Avenella flexuosa,94.619,100,99.99329616,223,224,223.9972513,8.44E-112,3.11E-91,1.39E-94,7,5,44626,2500
Test_1,196624,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,97.89,99.167,99.14488437,237,240,239.2330956,2.54E-117,1.17E-110,1.79E-112,7,5,16030,5000
Test_1,4509,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Dactylis,Dactylis glomerata,97.838,100,99.99633887,165,224,223.7966435,8.44E-112,2.05E-77,5.86E-80,3,5,5580,3000
Test_1,38873,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,98.182,100,99.99912907,220,221,220.9995209,3.86E-110,6.48E-103,3.10E-106,2,7,14605,4500
Test_1,3501,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,99.197,99.603,99.58465126,249,252,251.9086481,4.41E-125,2.64E-122,6.32E-124,13,5,22072,4000
Test_1,242228,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,Phialocephala europaea,90.415,90.735,90.519,309,313,312.2,9.58E-113,1.60E-110,5.90E-111,4,2,4,3000
Test_1,533304,Fungi,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola levissima,90.735,90.735,90.735,313,313,313,9.58E-113,9.58E-113,9.58E-113,1,7,7,500
Test_1,582650,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium delphinoides,92.332,92.332,92.332,313,313,313,4.39E-121,4.39E-121,4.39E-121,1,4,4,750
Test_1,29204,NA,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica,97.826,98.046,97.991,276,307,299.25,9.12E-148,1.56E-130,3.90E-131,2,2,6,300
Test_1,1488663,NA,NA,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium,Nusuttodinium aeruginosum,100,100,100,316,316,316,9.02E-163,9.02E-163,9.02E-163,1,3,3,90
Test_2,468664,Metazoa,Rotifera,Eurotatoria,Philodinida,Philodinidae,Philodina,Philodina citrina,92.405,92.405,92.405,316,316,316,9.55E-123,9.55E-123,9.55E-123,1,12,12,800
Test_2,28584,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii,98.403,100,99.97894301,310,315,314.9523229,3.23E-162,9.05E-153,3.61E-156,45,2,67492,2000
Test_2,1302610,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,Eiseniella tetraedra,91.693,100,93.76975,313,314,313.25,1.16E-161,9.51E-118,7.13E-118,2,2,6,4000
Test_2,446454,Metazoa,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia submarginata,99.681,99.681,99.681,313,313,313,1.93E-159,1.93E-159,1.93E-159,1,35,35,900
Test_2,76587,Metazoa,Annelida,Clitellata,Haplotaxida,Naididae,Limnodrilus,Limnodrilus hoffmeisteri,99.8,100,100,313,313,313,4.15E-161,4.15E-161,4.15E-161,1,2,2,200
Test_2,9913,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,99,99.405,99.405,168,168,168,3.77E-79,3.77E-79,3.77E-79,2,2,52,80
Test_2,9606,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,99.8,100,100,170,171,171,0,0,0,1.00E+00,100,800,1000
Test_2,48668,Metazoa,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rutilus,Rutilus rutilus,99.9,100,99.99,2,180,180,175,252,426,4.00E+00,100,1900,1500
Test_2,8032,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,99,99.412,99.2,1,0,170,170,314,483,2.95E-80,300,3700,4000
Test_2,320565,Metazoa,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ponticola,Ponticola kessleri,98,99,98.5,7,0,1,168,318,485,2,10,3000,3010
Test_2,114083,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,98.4,99,100,12,1,1,228,60,286,8.86E-92,348,1,2000
Test_2,142466,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica,99.4,99.6,100,8,3,1,228,60,287,5.30E-94,355,1,2500
Test_2,51331,Metazoa,Chordata,Amphibia,Anura,Ranidae,Rana,Rana dalmatina,100,100,100,2,0,1,216,61,288,1.00E+00,356,2,400
Test_2,8324,Metazoa,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,Lissotriton vulgaris,99,100,100,3,1,1,188,97,285,3.30E-85,326,3,600
Test_2,9615,Metazoa,Chordata,Craniata,Carnivora,Cranidae,Canis,Canis lupus,100,100,100,4,2,2,189,98,286,1.00E+00,327,4,700
