dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1616889600,2021-03-28 00:00:00 +0000 UTC,3600,PONY Garden,48.93031,15.26797,3.28,,-0.16,2.22,1.55,5.96,1023,,,78,1.34,315,4.92,,,,,89,804,Clouds,overcast clouds,04n
1616893200,2021-03-28 01:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.51,,-0.07,2.51,1.27,5.26,1023,,,83,1,290,0,,,,,96,804,Clouds,overcast clouds,04n
1616896800,2021-03-28 02:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,1.96,,-0.69,0.73,0.43,4.66,1023,,,82,1.34,270,2.68,,,,,98,804,Clouds,overcast clouds,04n
1616900400,2021-03-28 03:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,1.63,,-0.83,1.63,-0.41,4.16,1023,,,83,0,360,0,,,,,83,803,Clouds,broken clouds,04n
1616904000,2021-03-28 04:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,0.29,,-1.57,0.29,-1.57,3.96,1024,,,86,0,360,0,,,,,53,803,Clouds,broken clouds,04n
1616907600,2021-03-28 05:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,-0.18,10000,-1.72,-0.18,-2.57,3.56,1024,,,88,1,340,0,,,,,40,802,Clouds,scattered clouds,03d
1616911200,2021-03-28 06:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,0.68,10000,-0.81,0.68,-0.39,3.99,1024,,,89,0,360,0,,,,,40,802,Clouds,scattered clouds,03d
1616914800,2021-03-28 07:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.98,,1.5,2.98,1.24,5.36,1024,,,90,0,360,0,,,,,30,802,Clouds,scattered clouds,03d
1616918400,2021-03-28 08:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.04,,2.05,5.04,3.09,7.6,1024,,,81,0.45,225,2.68,,,,,55,803,Clouds,broken clouds,04d
1616922000,2021-03-28 09:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,7.62,10000,0.81,7.62,5.7,9.62,1023,,,62,0.89,180,4.47,,,,,20,801,Clouds,few clouds,02d
1616925600,2021-03-28 10:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.84,,0.55,6.79,6.61,10.32,1023,,,56,3.58,315,5.36,,,,,100,804,Clouds,overcast clouds,04d
1616929200,2021-03-28 11:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,9.04,,0.24,8.26,7.37,10.32,1023,,,54,1.79,270,4.92,,,,,100,804,Clouds,overcast clouds,04d
1616932800,2021-03-28 12:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,9.37,10000,0.02,7.43,7.37,10.87,1023,,,52,3.58,360,6.26,,,,,40,802,Clouds,scattered clouds,03d
1616936400,2021-03-28 13:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,9.78,,-0.12,9.12,8.43,10.9,1023,,,50,1.79,270,4.92,,,,,99,804,Clouds,overcast clouds,04d
1616940000,2021-03-28 14:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.23,,0,8.59,8.48,12.33,1031,,,49,4,330,0,,,,,98,804,Clouds,overcast clouds,04d
1616943600,2021-03-28 15:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.68,10000,-0.14,9.03,8.43,12.46,1023,,,47,4.47,315,7.15,,,,,20,801,Clouds,few clouds,02d
1616947200,2021-03-28 16:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.37,,0.41,8.77,8.48,11.69,1030,,,50,2,340,0,,,,,73,803,Clouds,broken clouds,04d
1616950800,2021-03-28 17:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.6,,0.81,8.6,6.77,10.96,1023,,,58,0.89,360,1.34,,,,,45,802,Clouds,scattered clouds,03d
1616954400,2021-03-28 18:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.46,10000,0.23,5.46,4.05,8,1023,,,69,1,340,0,,,,,1,800,Clear,sky is clear,01n
1616958000,2021-03-28 19:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,3.76,,0.11,3.76,2.12,7.43,1023,,,77,0,360,0,,,,,94,804,Clouds,overcast clouds,04n
1616961600,2021-03-28 20:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,3.2,,0.09,3.2,0.92,7.36,1024,,,80,0,360,0,,,,,99,804,Clouds,overcast clouds,04n
1616965200,2021-03-28 21:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,3.22,,0.62,3.22,1.42,6.93,1024,,,83,0,360,0,,,,,97,804,Clouds,overcast clouds,04n
1616968800,2021-03-28 22:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.7,,0.27,2.7,1.28,6.93,1024,,,84,0,360,0,,,,,99,804,Clouds,overcast clouds,04n
1616972400,2021-03-28 23:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.51,,0.25,2.51,-0.28,7.13,1024,,,85,0,360,0,,,,,86,804,Clouds,overcast clouds,04n
1616976000,2021-03-29 00:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.55,,0.45,2.55,0.42,6.77,1024,,,86,0,360,0,,,,,92,804,Clouds,overcast clouds,04n
1616979600,2021-03-29 01:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.49,,0.39,2.49,0.62,6.53,1024,,,86,0,360,0,,,,,98,804,Clouds,overcast clouds,04n
1616983200,2021-03-29 02:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.56,,0.93,2.56,-0.08,6.84,1034,,,89,0,360,0,,,,,98,804,Clouds,overcast clouds,04n
1616986800,2021-03-29 03:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.94,,1.46,2.94,0.02,7.53,1034,,,90,0,360,0,,,,,98,804,Clouds,overcast clouds,04n
1616990400,2021-03-29 04:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,3.49,,1.85,3.49,0.92,7.63,1034,,,89,0,360,0,,,,,99,804,Clouds,overcast clouds,04n
1616994000,2021-03-29 05:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,2.87,10000,1.39,2.87,1.17,7.4,1034,,,90,0,360,0,,,,,20,801,Clouds,few clouds,02d
1616997600,2021-03-29 06:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,4.51,10000,2.54,4.51,1.43,7.43,1034,,,87,0,360,0,,,,,40,802,Clouds,scattered clouds,03d
1617001200,2021-03-29 07:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,7.16,,3.77,7.16,5.49,9.66,1024,,,79,1,240,0,,,,,99,804,Clouds,overcast clouds,04d
1617004800,2021-03-29 08:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.17,,3.89,8.94,8.48,11.79,1024,,,65,1,300,0,,,,,100,804,Clouds,overcast clouds,04d
1617008400,2021-03-29 09:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,12.17,,3.41,10.88,10.43,13.51,1023,,,55,2.68,315,4.02,,,,,99,804,Clouds,overcast clouds,04d
1617012000,2021-03-29 10:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,13.73,,2.63,12.39,12.33,14.22,1023,,,47,1.79,270,4.47,,,,,90,804,Clouds,overcast clouds,04d
1617015600,2021-03-29 11:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,14.78,,1.67,13.38,12.61,16.7,1032,,,41,3,320,0,,,,,98,804,Clouds,overcast clouds,04d
1617019200,2021-03-29 12:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,15.34,,1.48,13.95,14.43,16.96,1031,,,39,1,270,0,,,,,89,804,Clouds,overcast clouds,04d
1617022800,2021-03-29 13:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,16.21,,1.14,14.83,14.43,18.06,1031,,,36,3,320,0,,,,,95,804,Clouds,overcast clouds,04d
1617026400,2021-03-29 14:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,16.62,,1.5,15.28,15.1,18.2,1022,,,36,1.79,360,5.36,,,,,96,804,Clouds,overcast clouds,04d
1617030000,2021-03-29 15:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,16.12,10000,1.06,14.73,13.93,17.46,1022,,,36,0.89,270,3.58,,,,,40,802,Clouds,scattered clouds,03d
1617033600,2021-03-29 16:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,15.65,,1.75,14.29,13.48,16.66,1023,,,39,0.89,270,3.58,,,,,98,804,Clouds,overcast clouds,04d
1617037200,2021-03-29 17:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,14.21,,3.37,12.94,12.63,15.43,1031,,,48,2,330,0,,,,,96,804,Clouds,overcast clouds,04d
1617040800,2021-03-29 18:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,11.78,10000,3.3,10.48,10.92,13.53,1032,,,56,0,360,0,,,,,40,802,Clouds,scattered clouds,03n
1617044400,2021-03-29 19:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.44,,4.15,9.24,8.42,13.43,1024,,,65,1,190,0,0.44,,,,79,500,Rain,light rain,10n
1617048000,2021-03-29 20:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.15,,3.43,8.87,8.43,13.03,1024,,,63,1,250,0,,,,,74,803,Clouds,broken clouds,04n
1617051600,2021-03-29 21:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,9.05,,3.26,9.05,7.38,12.96,1024,,,67,1,250,0,,,,,48,802,Clouds,scattered clouds,03n
1617055200,2021-03-29 22:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.78,,3.41,8.78,6.27,13.26,1023,,,69,0.45,225,1.79,,,,,75,803,Clouds,broken clouds,04n
1617058800,2021-03-29 23:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.65,,2.87,8.65,6.43,13.16,1024,,,67,1,320,0,,,,,62,803,Clouds,broken clouds,04n
1617062400,2021-03-30 00:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,7.65,,2.73,6.45,4.6,13.16,1024,,,71,2,320,0,,,,,32,802,Clouds,scattered clouds,03n
1617066000,2021-03-30 01:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,7.35,,3.59,7.35,4.2,11.93,1034,,,77,1,310,0,,,,,33,802,Clouds,scattered clouds,03n
1617069600,2021-03-30 02:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,6.89,,3.51,6.89,3.4,13.36,1034,,,79,1,330,0,,,,,10,800,Clear,sky is clear,01n
1617073200,2021-03-30 03:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.27,,2.45,5.27,1.43,12.66,1035,,,82,1,40,0,,,,,4,800,Clear,sky is clear,01n
1617076800,2021-03-30 04:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.14,,2.15,5.14,1.42,12.06,1035,,,81,0,360,0,,,,,6,800,Clear,sky is clear,01n
1617080400,2021-03-30 05:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,4.42,10000,2.29,4.42,0.42,10.93,1035,,,86,0,360,0,,,,,20,801,Clouds,few clouds,02d
1617084000,2021-03-30 06:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,6.6,10000,4.09,6.6,2.74,13.26,1035,,,84,0,360,0,,,,,20,801,Clouds,few clouds,02d
1617087600,2021-03-30 07:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.03,,3.54,8.76,6.42,13.64,1034,,,64,0,360,0,,,,,3,800,Clear,sky is clear,01d
1617091200,2021-03-30 08:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,12.92,,4.62,11.76,10.78,16.46,1024,,,57,0.89,225,2.24,,,,,3,800,Clear,sky is clear,01d
1617094800,2021-03-30 09:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,15.4,10000,4.46,14.25,14.44,17.96,1024,,,48,0.89,270,3.13,,,,,1,800,Clear,sky is clear,01d
1617098400,2021-03-30 10:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,17.11,,3.42,15.92,16.24,18.51,1023,,,40,2,320,0,,,,,28,802,Clouds,scattered clouds,03d
1617102000,2021-03-30 11:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,18.41,,3.85,17.3,17.37,20.18,1023,,,38,2.68,270,5.81,,,,,18,801,Clouds,few clouds,02d
1617105600,2021-03-30 12:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,19.23,,2.15,18.04,17.96,20.73,1023,,,32,2.24,270,6.71,,,,,2,800,Clear,sky is clear,01d
1617109200,2021-03-30 13:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,19.76,,1.24,18.55,18.43,20.96,1022,,,29,0.89,360,4.92,,,,,0,800,Clear,sky is clear,01d
1617112800,2021-03-30 14:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,20.33,,1.73,19.18,19.43,21.43,1022,,,29,1.79,270,3.58,,,,,0,800,Clear,sky is clear,01d
1617116400,2021-03-30 15:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,20.01,,2.38,18.88,19.02,20.99,1029,,,31,1,340,0,,,,,8,800,Clear,sky is clear,01d
1617120000,2021-03-30 16:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,19.01,,4.01,17.93,17.32,20.99,1029,,,37,1,340,0,,,,,7,800,Clear,sky is clear,01d
1617123600,2021-03-30 17:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,16.02,,6.73,15.09,13.92,19.23,1030,,,54,1,320,0,,,,,7,800,Clear,sky is clear,01d
1617127200,2021-03-30 18:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,12.77,10000,5.45,11.7,10.02,15.65,1023,,,61,1,330,0,,,,,1,800,Clear,sky is clear,01n
1617130800,2021-03-30 19:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,10.54,,4.68,9.4,8.02,16.33,1023,,,67,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617134400,2021-03-30 20:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,9.67,,4.47,9.67,8.08,15.36,1023,,,70,1,50,0,,,,,0,800,Clear,sky is clear,01n
1617138000,2021-03-30 21:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.6,,4.61,8.6,6.43,14.43,1031,,,76,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617141600,2021-03-30 22:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,8.3,,5.24,8.3,5.43,13.93,1031,,,81,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617145200,2021-03-30 23:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,7.21,,4.69,7.21,4.43,13.93,1031,,,84,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617148800,2021-03-31 00:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,6.68,,4.34,6.68,3.94,13.63,1031,,,85,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617152400,2021-03-31 01:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.81,,4.14,5.81,1.42,13.43,1031,,,89,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617156000,2021-03-31 02:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.04,,3.38,5.04,0.62,13.53,1031,,,89,1,350,0,,,,,0,800,Clear,sky is clear,01n
1617159600,2021-03-31 03:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,5.68,,4.17,5.68,2.43,11.73,1031,,,90,1,340,0,,,,,0,800,Clear,sky is clear,01n
1617163200,2021-03-31 04:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,4.08,,2.75,4.08,-0.08,9.83,1031,,,91,0,360,0,,,,,0,800,Clear,sky is clear,01n
1617166800,2021-03-31 05:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,4.3,10000,2.96,4.3,-0.48,7.93,1031,,,91,1,30,0,,,,,1,800,Clear,sky is clear,01d
1617170400,2021-03-31 06:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,6.47,10000,4.47,6.47,3.4,11.77,1030,,,87,0,360,0,,,,,1,800,Clear,sky is clear,01d
1617174000,2021-03-31 07:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,11.16,,5.9,10.16,6.43,15.15,1028,,,70,0,360,0,,,,,0,800,Clear,sky is clear,01d
1617177600,2021-03-31 08:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,14.3,,6.41,13.33,10.99,18.26,1027,,,59,1,190,0,,,,,0,800,Clear,sky is clear,01d
1617181200,2021-03-31 09:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,17.83,,6.07,16.87,15.03,19.6,1026,,,46,2,180,0,,,,,0,800,Clear,sky is clear,01d
1617184800,2021-03-31 10:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,19.09,,6.57,18.2,16.43,21.29,1020,,,44,0.89,270,2.24,,,,,0,800,Clear,sky is clear,01d
1617188400,2021-03-31 11:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,20.53,,6.11,19.66,18.48,21.57,1019,,,39,0.45,135,4.92,,,,,0,800,Clear,sky is clear,01d
1617192000,2021-03-31 12:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,21.65,10000,6.35,20.84,19.43,22.68,1019,,,37,1.34,180,3.13,,,,,1,800,Clear,sky is clear,01d
1617195600,2021-03-31 13:00:00 +0000 UTC,7200,PONY Garden,48.93031,15.26797,21.79,,6.47,20.99,19.59,22.9,1022,,,37,2,90,0,,,,,0,800,Clear,sky is clear,01d
